model,accuracy,precision,recall,f1,fpr,fnr
Random Forest,1.0,1.0,1.0,1.0,0.0,0.0
SVM,0.9960474308300395,0.9960706215269454,0.9960474308300395,0.9960488214517521,0.001976284584980237,0.003952569169960474
XGBoost,1.0,1.0,1.0,1.0,0.0,0.0
Decision Tree,1.0,1.0,1.0,1.0,0.0,0.0
